date	close
11-Nov-14	99.72
4-Nov-14	99.71
28-Oct-14	100
21-Oct-14	100
14-Oct-14	100
7-Oct-14	100
30-Sep-14	100
23-Sep-14	100
16-Sep-14	100
9-Sep-14	100
2-Sep-14	100
26-Aug-14	100
19-Aug-14	100
12-Aug-14	100
5-Aug-14	100
29-Jul-14	100
22-Jul-14	100
15-Jul-14	100
8-Jul-14	100
1-Jul-14	100
24-Jun-14	100
17-Jun-14	100
10-Jun-14	100
3-Jun-14	100
27-May-14	100
20-May-14	100
13-May-14	100
6-May-14	100
29-Apr-14	100
22-Apr-14	100
15-Apr-14	99.8
8-Apr-14	99.81
1-Apr-14	99.81
25-Mar-14	99.8
18-Mar-14	99.8
11-Mar-14	94.56
4-Mar-14	94.56
25-Feb-14	94.56
18-Feb-14	94.54
11-Feb-14	94.54
4-Feb-14	94.18
28-Jan-14	94.18
21-Jan-14	94.18
14-Jan-14	94.18
7-Jan-14	94.25
31-Dec-13	94.25
24-Dec-13	94.25
17-Dec-13	94.25
10-Dec-13	94.15
3-Dec-13	94.15
26-Nov-13	94.15
19-Nov-13	96
12-Nov-13	96
5-Nov-13	95.98
29-Oct-13	95.98
22-Oct-13	95.98
15-Oct-13	95.95
8-Oct-13	95.95
1-Oct-13	95.95
24-Sep-13	96.04
17-Sep-13	96.04
10-Sep-13	97.08
3-Sep-13	97.08
27-Aug-13	98.23
20-Aug-13	98.23
13-Aug-13	98.23
6-Aug-13	98.23
30-Jul-13	98.23
23-Jul-13	98.23
16-Jul-13	98.23
9-Jul-13	98.23
2-Jul-13	98.23
25-Jun-13	98.21
18-Jun-13	98.21
11-Jun-13	98.16
4-Jun-13	98.16
28-May-13	98.16
21-May-13	98.16
14-May-13	98.16
7-May-13	98.16
30-Apr-13	64.3
23-Apr-13	63.42
16-Apr-13	48.39
9-Apr-13	48.39
2-Apr-13	48.38
26-Mar-13	48.38
19-Mar-13	48.38
12-Mar-13	46.23
5-Mar-13	47.37
26-Feb-13	47.13
19-Feb-13	47.18
12-Feb-13	47.18
5-Feb-13	47.18
29-Jan-13	47.18
22-Jan-13	53.58
15-Jan-13	53.58
8-Jan-13	55.02
1-Jan-13	55.32
25-Dec-12	56.19
18-Dec-12	56.19
11-Dec-12	57.94
4-Dec-12	59.36
27-Nov-12	70.47
20-Nov-12	67.67
13-Nov-12	66.37
6-Nov-12	67.75
30-Oct-12	68.48
23-Oct-12	68.48
16-Oct-12	68.48
9-Oct-12	69.57
2-Oct-12	69.41
25-Sep-12	69.41
18-Sep-12	69.09
11-Sep-12	69.13
4-Sep-12	69.28
28-Aug-12	69.44
21-Aug-12	69.2
14-Aug-12	63.84
7-Aug-12	63.8
31-Jul-12	63.8
24-Jul-12	63.8
17-Jul-12	59.74
10-Jul-12	59.74
3-Jul-12	59.77
26-Jun-12	59.51
19-Jun-12	59.51
12-Jun-12	58.89
5-Jun-12	58.89
29-May-12	58.89
22-May-12	58.89
15-May-12	58.89
8-May-12	58.89
1-May-12	58.97
24-Apr-12	60.23
17-Apr-12	60.23
10-Apr-12	81.47
3-Apr-12	82.01
27-Mar-12	89.61
20-Mar-12	89.61
13-Mar-12	90.14
6-Mar-12	75.24
28-Feb-12	72.09
21-Feb-12	67.76
14-Feb-12	59.06
7-Feb-12	59.06
31-Jan-12	57.33
24-Jan-12	41.23
17-Jan-12	46.34
10-Jan-12	46.34
3-Jan-12	46.34
27-Dec-11	5.41
20-Dec-11	0
13-Dec-11	0
6-Dec-11	0
29-Nov-11	0
22-Nov-11	0
15-Nov-11	0
8-Nov-11	0
1-Nov-11	0
25-Oct-11	0
18-Oct-11	0
11-Oct-11	0
4-Oct-11	0
27-Sep-11	0
20-Sep-11	0
13-Sep-11	0
6-Sep-11	0
30-Aug-11	0
23-Aug-11	0
16-Aug-11	0
9-Aug-11	0
2-Aug-11	0
26-Jul-11	0
19-Jul-11	0
12-Jul-11	0
5-Jul-11	0
28-Jun-11	0
21-Jun-11	0
14-Jun-11	0
7-Jun-11	0
31-May-11	0
24-May-11	0
17-May-11	0
10-May-11	0
3-May-11	0
26-Apr-11	0
19-Apr-11	0
12-Apr-11	0
5-Apr-11	0
29-Mar-11	0
22-Mar-11	0
15-Mar-11	0
8-Mar-11	0
1-Mar-11	0
22-Feb-11	0
15-Feb-11	0
8-Feb-11	0
1-Feb-11	0
25-Jan-11	0
18-Jan-11	0
11-Jan-11	0
4-Jan-11	0
28-Dec-10	0
21-Dec-10	0
14-Dec-10	1.25
7-Dec-10	2.14
30-Nov-10	2.41
23-Nov-10	2.41
16-Nov-10	4.62
